ACTCH	Actinidia chinensis
AEGTA	Aegilops tauschii
AETAR	Aethionema arabicum
AMAHY	Amaranthus hypochondriacus
AMBTR	Amborella trichopoda
AQUCO	Aquilegia coerulea
ARALY	Arabidopsis lyrata
ARATH	Arabidopsis thaliana
ARAAL	Arabis alpina
AZAIN	Azadirachta indica
AZOFIhc	Azolla filiculoides
BATPR	Bathycoccus prasinos
BETVUEL	Beta vulgaris
BOEST	Boechera stricta
BRADI	Brachypodium distachyon
BRAST	Brachypodium stacei
BRAOL	Brassica oleracea
BRARA	Brassica rapa
CAJCA	Cajanus cajan
CALTU	Calliarthron tuberculosum
CAMSA	Camelina sativa
CANSA	Cannabis sativa
CAPGR	Capsella grandiflora
CAPRU	Capsella rubella
CAPANGL	Capsicum annuum (spp. glabriusculum)
CAPANZU	Capsicum annuum (spp. zunla)
CARPA	Carica papaya
CERPUGG	Ceratodon purpureus
CHAGLtr	Chaetosphaeridium globosum
CHABR	Chara braunii
CHLRE	Chlamydomonas reinhardtii
CHLSP	Chlorella sp. NC64A
CHLVU	Chlorella vulgaris
CHLAT	Chlorokybus atmophyticus
CHOCR	Chondrus crispus
CICAR	Cicer arietinum
CITLA	Citrullus lanatus
CITCL	Citrus clementina
CITSI	Citrus sinensis
COCSP	Coccomyxa subellipsoidea C-169
COFCA	Coffea canephora
COLORtrCO	Coleochaete orbicularis
COLSPtr	Coleochaete sp.
CUCME	Cucumis melo
CUCSA	Cucumis sativus
CYAME	Cyanidioschyzon merolae
CYAPA	Cyanophora paradoxa
DUNSA	Dunaliella salina
ELAGU	Elaeis guineensis
ERATE	Eragrostis tef
EUCGR	Eucalyptus grandis
EUTSA	Eutrema salsugineum
FRAVE	Fragaria vesca
FUNHY15tr	Funaria hygrometrica
GALSU	Galdieria sulphuraria
GLYMA	Glycine max
GONPE	Gonium pectorale
GOSRA	Gossypium raimondii
HORVU	Hordeum vulgare
JATCU	Jatropha curcas
KALLA	Kalanchoe laxiflora
KLEFL	Klebsormidium flaccidum
LEAAL	Leavenworthia alabamica
LINUS	Linum usitatissimum
LOTJA	Lotus japonicus
PYRGR	Magnaporthe grisea
MALDO	Malus domestica
MANES	Manihot esculenta
MARPO	Marchantia polymorpha
MEDTR	Medicago truncatula
MICMAtr	Microlepia marginata
MICPUCC	Micromonas pusilla CCMP1545
MICPURC	Micromonas sp. RCC299
MIMGU	Mimulus guttatus
MUSAC	Musa acuminata
MUSBA	Musa balbisiana
NELNU	Nelumbo nucifera
NICBE	Nicotiana benthamiana
NITHYtr	Nitella hyalina
ORYSAIN	Oryza sativa (spp. indica)
ORYSAJA	Oryza sativa (spp. japonica)
OSTLU	Ostreococcus lucimarinus
OSTSP	Ostreococcus sp. RCC809
OSTTA	Ostreococcus tauri
PANVI	Panicum virgatum
PENMA	Penium margaritaceum
PHAEQ	Phalaenopsis equestris
PHAVU	Phaseolus vulgaris
PHODA	Phoenix dactylifera
PHYHE	Phyllostachys heterocycla
PHYPAV33	Physcomitrella patens
PICAB	Picea abies
PICGL	Picea glauca
PINTA	Pinus taeda
POPTR	Populus trichocarpa
PORUM	Porphyra umbilicalis
PORCRtr	Porphyridium cruentum
PRUMU	Prunus mume
PRUPE	Prunus persica
PTEAQpt	Pteridium aquilinum
PYRYE	Pyropia yezoensis
PYRBR	Pyrus bretschneideri
PYRCO	Pyrus communis
RAPRA	Raphanus raphanistrum
RAPSA	Raphanus sativus
RICCO	Ricinus communis
SALPU	Salix purpurea
SALCUhc	Salvinia cucullata
SELMO	Selaginella moellendorffii
SETIT	Setaria italica
SETVI	Setaria viridis
SISIR	Sisymbrium irio
SOLLY	Solanum lycopersicum
SOLME	Solanum melongena
SOLPE	Solanum pennellii
SOLTU	Solanum tuberosum
SORBI	Sorghum bicolor
SPHFA	Sphagnum fallax
SPIPO	Spirodela polyrhiza
SPIPRtrTI	Spirogyra pratensis
TARHA	Tarenaya hassleriana
THEHA	Thellungiella halophila
THEPA	Thellungiella parvula
THECA	Theobroma cacao
TRIAE	Triticum aestivum
TRIUR	Triticum urartu
UTRGI	Utricularia gibba
VITVI	Vitis vinifera
VOLCA	Volvox carteri
ZEAMA	Zea mays
ZOSMA	Zostera marina
SPISP	Spirogyra sp.
GINBI	Ginkgo biloba
GRACH	Gracilariopsis chorda
PORPU	Porphyridium purpureum
CYACA	Cyanidium caldarium
GALPH	Galdieria phlegrea
PRACO	Prasinoderma coloniale
ANTAG	Anthoceros agrestis
SPIMU	Spirogloea muscicola
ZYGCIUTEX1599	Zygnema circumcarinatum
MESVINI	Mesostigma viride
ULVMU	Ulva mutabilis
GONAV	Goniomonas avonlea
GUITH	Guillardia theta
